REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
TNFRSF1A	NM_001065	['ENST00000534885', 'ENST00000162749', 'ENST00000366159']
CYP19A1	NM_031226	['ENST00000439712', 'ENST00000260433', 'ENST00000405913']
SPRN	NM_001012508	['ENST00000414069']
SULT2B1	NM_177973	['ENST00000201586']
GPD1L	NM_015141	['ENST00000282541']
TMLHE	NM_018196	['ENST00000334398']
SOGA3	NM_001012279	['ENST00000556132']
RFX2	NM_134433	['ENST00000303657']
PAX2	NM_003987	['ENST00000428433']
PAX2	NM_003988	['ENST00000370296']
DOHH	NM_001145165	['ENST00000427575']
PCDHA10	NM_018901	['ENST00000307360']
CAPS2	NM_032606	['ENST00000409004', 'ENST00000409799', 'ENST00000328705', 'ENST00000393284', 'ENST00000409445']
ARNTL2	NM_020183	['ENST00000544915']
PTPN1	NM_002827	['ENST00000371621']
EHMT1	NM_024757	['ENST00000494249', 'ENST00000460843']
EHMT2	NM_006709	['ENST00000480912', 'ENST00000497104', 'ENST00000487513', 'ENST00000420336', 'ENST00000467139', 'ENST00000375537', 'ENST00000429506', 'ENST00000383373', 'ENST00000497361', 'ENST00000469681', 'ENST00000498185', 'ENST00000421926', 'ENST00000463686', 'ENST00000450075']
ADIPOR2	NM_024551	['ENST00000357103']
ADIPOR1	NM_015999	['ENST00000436244', 'ENST00000340990']
PAX9	NM_006194	['ENST00000361487', 'ENST00000402703']
PTPN6	NM_080549	['ENST00000456013']
MARK4	NM_001199867	['ENST00000262891', 'ENST00000300843']
MARK1	NM_018650	['ENST00000366918', 'ENST00000402574']
MARK3	NM_001128918	['ENST00000429436']
NDUFA11	NM_175614	['ENST00000592634']
IGBP1	NM_001551	['ENST00000342206', 'ENST00000356413']
NDUFA12	NM_018838	['ENST00000327772']
EFCAB13	NM_152347	['ENST00000331493']
SLC18A3	NM_003055	['ENST00000374115']
CELA1	NM_001971	['ENST00000293636']
CCDC120	NM_001163321	['ENST00000422185']
ACTR3C	NM_001164458	['ENST00000539352']
WDR11	NM_018117	['ENST00000263461', 'ENST00000497136']
CHRD	NM_003741	['ENST00000448472', 'ENST00000348986', 'ENST00000204604', 'ENST00000460627', 'ENST00000420973']
SPIN3	NM_001010862	['ENST00000374919']
WDR19	NM_025132	['ENST00000399820', 'ENST00000512095']
PSCA	NM_005672	['ENST00000301258']
AOX1	NM_001159	['ENST00000374700']
PPP2R1B	NM_002716	['ENST00000527614']
BMP15	NM_005448	['ENST00000252677']
USP9X	NM_001039590	['ENST00000324545']
ZMYND15	NM_001136046	['ENST00000433935']
PAEP	NM_001018049	['ENST00000371768']
ZMYND11	NM_006624	['ENST00000309776', 'ENST00000381591']
BCL9L	NM_182557	['ENST00000334801']
CLEC3B	NM_003278	['ENST00000296130']
CGGBP1	NM_001008390	['ENST00000309534']
CLEC3A	NM_005752	['ENST00000299642']
AMBP	NM_001633	['ENST00000265132', 'ENST00000540645']
AMBN	NM_016519	['ENST00000322937']
WNT2B	NM_024494	['ENST00000256640', 'ENST00000369684']
IDH3A	NM_005530	['ENST00000558535', 'ENST00000299518']
HSPB2	NM_001541	['ENST00000527616', 'ENST00000304298']
HSPB3	NM_006308	['ENST00000302005']
HSPB1	NM_001540	['ENST00000248553', 'ENST00000429938']
PKN1	NM_002741	['ENST00000585839']
PKN2	NM_006256	['ENST00000370521']
HSPB8	NM_014365	['ENST00000281938']
RHOBTB2	NM_001160036	['ENST00000251822']
INO80D	NM_017759	['ENST00000403263']
MYADML2	NM_001145113	['ENST00000409745']
DIS3L2	NM_152383	['ENST00000433430', 'ENST00000325385']
COL14A1	NM_021110	['ENST00000432943', 'ENST00000297848', 'ENST00000309791', 'ENST00000247781']
PLOD3	NM_001084	['ENST00000223127']
KCNE2	NM_172201	['ENST00000290310']
KCNE3	NM_005472	['ENST00000310128']
PRDM12	NM_021619	['ENST00000253008']
KCNE1	NM_000219	['ENST00000337385']
KCNE4	NM_080671	['ENST00000281830']
KCNE5	NM_012282	['ENST00000372101']
LDLRAD1	NM_001010978	['ENST00000371360']
HPCA	NM_002143	['ENST00000373467']
CYP2F1	NM_000774	['ENST00000526093', 'ENST00000531409', 'ENST00000331105', 'ENST00000532164']
NAV1	NM_020443	['ENST00000367296', 'ENST00000295624']
LIG1	NM_000234	['ENST00000542460', 'ENST00000594759', 'ENST00000594067', 'ENST00000263274']
BDP1	NM_018429	['ENST00000380675', 'ENST00000514903', 'ENST00000358731', 'ENST00000508917', 'ENST00000525844']
IREB2	NM_004136	['ENST00000560440', 'ENST00000258886']
ISCU	NM_213595	['ENST00000311893', 'ENST00000539593', 'ENST00000545932']
IL36RN	NM_012275	['ENST00000393200']
UMODL1	NM_173568	['ENST00000408989']
NKX6-2	NM_177400	['ENST00000368592']
NKX6-1	NM_006168	['ENST00000295886']
CSPG4	NM_001897	['ENST00000308508']
KCTD19	NM_001100915	['ENST00000570049', 'ENST00000304372', 'ENST00000566392']
KCTD18	NM_152387	['ENST00000409157', 'ENST00000359878', 'ENST00000478816']
ZKSCAN5	NM_014569	['ENST00000394170']
UFL1	NM_015323	['ENST00000369278']
GLIS2	NM_032575	['ENST00000262366']
GLIS3	NM_152629	['ENST00000381971', 'ENST00000324333']
GLIS3	NM_001042413	['ENST00000381971', 'ENST00000324333', 'ENST00000465708']
H6PD	NM_004285	['ENST00000377403']
BCHE	NM_000055	['ENST00000264381']
DCP1B	NM_152640	['ENST00000397173', 'ENST00000535873', 'ENST00000280665']
SLC25A32	NM_030780	['ENST00000297578']
SLC25A39	NM_001143780	['ENST00000588315', 'ENST00000225308']
SLC25A38	NM_017875	['ENST00000273158']
C15orf32	NM_153040	['ENST00000333334']
TUBA1A	NM_006009	['ENST00000301071']
IGSF10	NM_178822	['ENST00000282466']
TMEM187	NM_003492	['ENST00000369982']
PGBD4	NM_152595	['ENST00000397766']
RIMKLA	NM_173642	['ENST00000431473']
HCAR2	NM_177551	['ENST00000328880']
HCAR1	NM_032554	['ENST00000436083']
PALB2	NM_024675	['ENST00000261584']
TAF6	NM_005641	['ENST00000344095']
OR7C1	NM_198944	['ENST00000248073']
TAF2	NM_003184	['ENST00000378164']
TAF1	NM_004606	['ENST00000423759']
G6PD	NM_001042351	['ENST00000393562']
G6PC	NM_000151	['ENST00000253801']
USP10	NM_005153	['ENST00000540269']
TAF9	NM_001015892	['ENST00000328663']
TAF8	NM_138572	['ENST00000372977', 'ENST00000372982', 'ENST00000372978']
CLTCL1	NM_007098	['ENST00000263200']
TSPAN31	NM_005981	['ENST00000257910']
POMT1	NM_007171	['ENST00000372228']
POMT2	NM_013382	['ENST00000554767', 'ENST00000261534']
AGPS	NM_003659	['ENST00000264167']
ALAD	NM_000031	['ENST00000482847', 'ENST00000409155']
HOXA13	NM_000522	['ENST00000222753']
NR2E3	NM_014249	['ENST00000567496']
LY6G6F	NM_001003693	['ENST00000383420', 'ENST00000400084', 'ENST00000556331', 'ENST00000446062', 'ENST00000556581', 'ENST00000375832', 'ENST00000442105', 'ENST00000447811', 'ENST00000557698', 'ENST00000430366', 'ENST00000554860', 'ENST00000453044', 'ENST00000455955', 'ENST00000455632']
SOS2	NM_006939	['ENST00000216373', 'ENST00000543680', 'ENST00000555794']
LRRCC1	NM_033402	['ENST00000414626', 'ENST00000360375']
USP18	NM_017414	['ENST00000215794']
LGALS13	NM_013268	['ENST00000221797']
FNIP1	NM_133372	['ENST00000307968', 'ENST00000510461', 'ENST00000511848']
FNIP2	NM_020840	['ENST00000264433', 'ENST00000504704']
PSMA3	NM_002788	['ENST00000216455']
PDCD6	NM_013232	['ENST00000264933']
TCF20	NM_005650	['ENST00000359486']
TCF21	NM_198392	['ENST00000367882']
PDCD1	NM_005018	['ENST00000334409']
ALG1	NM_019109	['ENST00000588623', 'ENST00000262374']
FUZ	NM_025129	['ENST00000531017', 'ENST00000313777']
HDLBP	NM_005336	['ENST00000391975']
OR6C3	NM_054104	['ENST00000379667']
C3	NM_000064	['ENST00000245907']
ERP44	NM_015051	['ENST00000262455']
SLC7A7	NM_001126106	['ENST00000285850', 'ENST00000556287', 'ENST00000555702']
ARFGEF1	NM_006421	['ENST00000262215', 'ENST00000520381', 'ENST00000518290']
ARFGEF2	NM_006420	['ENST00000371917']
ARFGEF3	NM_020340	['ENST00000251691']
GHSR	NM_198407	['ENST00000241256']
N4BP1	NM_153029	['ENST00000262384']
DSG1	NM_001942	['ENST00000257192']
ZNF101	NM_033204	['ENST00000318110', 'ENST00000415784']
SMU1	NM_018225	['ENST00000397149']
SREBF2	NM_004599	['ENST00000361204', 'ENST00000424354']
OR13G1	NM_001005487	['ENST00000359688']
SLC29A4	NM_153247	['ENST00000396872']
OXCT1	NM_000436	['ENST00000196371']
DSG4	NM_177986	['ENST00000308128']
SLC48A1	NM_017842	['ENST00000442892', 'ENST00000442218']
DCX	NM_178153	['ENST00000356915']
DCX	NM_000555	['ENST00000338081']
CIC	NM_015125	['ENST00000575354']
KARS	NM_001130089	['ENST00000319410']
RAB39B	NM_171998	['ENST00000369454']
SSRP1	NM_003146	['ENST00000278412']
IL12B	NM_002187	['ENST00000231228']
OR51L1	NM_001004755	['ENST00000321543']
CIT	NM_001206999	['ENST00000392521']
TSSK2	NM_053006	['ENST00000399635']
DAO	NM_001917	['ENST00000228476', 'ENST00000548052', 'ENST00000551281']
FIGLA	NM_001004311	['ENST00000332372']
THPO	NM_000460	['ENST00000421442', 'ENST00000204615']
LRP1B	NM_018557	['ENST00000389484']
RPIA	NM_144563	['ENST00000283646']
MTA1	NM_004689	['ENST00000331320', 'ENST00000405646']
LRP10	NM_014045	['ENST00000359591']
CUBN	NM_001081	['ENST00000377833']
GAPDHS	NM_014364	['ENST00000222286']
GPC1	NM_002081	['ENST00000264039']
GPC3	NM_004484	['ENST00000370818', 'ENST00000394299']
GPC4	NM_001448	['ENST00000370828']
GPC5	NM_004466	['ENST00000377067']
GPC6	NM_005708	['ENST00000377047']
HEPH	NM_138737	['ENST00000519389']
BICD2	NM_001003800	['ENST00000356884']
BBS9	NM_198428	['ENST00000242067', 'ENST00000433714', 'ENST00000434373']
BBS1	NM_024649	['ENST00000419755', 'ENST00000318312', 'ENST00000529955', 'ENST00000533557', 'ENST00000526760']
BBS2	NM_031885	['ENST00000245157', 'ENST00000565781']
BBS5	NM_152384	['ENST00000513963', 'ENST00000392663', 'ENST00000295240']
BBS4	NM_033028	['ENST00000268057']
BBS7	NM_176824	['ENST00000264499']
ANKDD1B	NM_001276713	['ENST00000506596', 'ENST00000601380']
C2orf48	NM_182626	['ENST00000381786']
C2orf42	NM_017880	['ENST00000264434']
ELANE	NM_001972	['ENST00000263621']
AGL	NM_000642	['ENST00000361915']
AGK	NM_018238	['ENST00000355413', 'ENST00000492693']
NIPA2	NM_001184889	['ENST00000337451']
NIPA1	NM_144599	['ENST00000337435']
RUBCN	NM_001145642	['ENST00000415452', 'ENST00000273582']
AGA	NM_000027	['ENST00000264595']
KHDC3L	NM_001017361	['ENST00000370367']
PDCD10	NM_145860	['ENST00000473645']
PDCD11	NM_014976	['ENST00000369797']
AGT	NM_000029	['ENST00000366667']
CLDN8	NM_199328	['ENST00000399899']
CRKL	NM_005207	['ENST00000354336']
GPR180	NM_180989	['ENST00000376958']
PIK3CA	NM_006218	['ENST00000263967']
PIK3CB	NM_006219	['ENST00000477593']
SLC28A1	NM_004213	['ENST00000537624', 'ENST00000394573', 'ENST00000286749', 'ENST00000537703']
PIK3CD	NM_005026	['ENST00000361110', 'ENST00000536656']
PIK3CG	NM_002649	['ENST00000496166', 'ENST00000359195']
ZSWIM6	NM_020928	['ENST00000252744']
ZSWIM7	NM_001042697	['ENST00000399277']
ZSWIM2	NM_182521	['ENST00000295131']
PRND	NM_012409	['ENST00000305817']
ZSWIM8	NM_001242487	['ENST00000604729', 'ENST00000605216', 'ENST00000492395']
FAM222B	NM_018182	['ENST00000341217']
FUT2	NM_000511	['ENST00000425340']
MEN1	NM_130799	['ENST00000315422', 'ENST00000312049']
PIK3C3	NM_002647	['ENST00000262039', 'ENST00000593098', 'ENST00000589056', 'ENST00000586545']
ZNF674	NM_001039891	['ENST00000523374']
SFRP4	NM_003014	['ENST00000436072']
JPH3	NM_020655	['ENST00000284262']
MAX	NM_002382	['ENST00000394606']
PARP15	NM_001113523	['ENST00000483793', 'ENST00000464300']
PARP10	NM_032789	['ENST00000524918', 'ENST00000313028', 'ENST00000525773']
ERI1	NM_153332	['ENST00000250263']
VPS8	NM_001009921	['ENST00000424463', 'ENST00000437079']
EYS	NM_001142800	['ENST00000503581']
MAG	NM_002361	['ENST00000392213']
MAF	NM_005360	['ENST00000326043']
ACLY	NM_001096	['ENST00000352035']
MAK	NM_001242957	['ENST00000474039']
OR1B1	NM_001004450	['ENST00000304833']
ALDH3A2	NM_000382	['ENST00000472059', 'ENST00000579855', 'ENST00000176643']
EVC	NM_153717	['ENST00000264956', 'ENST00000382674']
MGST2	NM_002413	['ENST00000265498']
MGST3	NM_004528	['ENST00000367889']
EDC4	NM_014329	['ENST00000572221', 'ENST00000573992', 'ENST00000358933', 'ENST00000536072']
ZNF451	NM_001031623	['ENST00000370706', 'ENST00000444273']
CSDE1	NM_001130523	['ENST00000438362']
ZNF454	NM_001178089	['ENST00000519564']
BACH2	NM_021813	['ENST00000537989', 'ENST00000257749']
PAM16	NM_016069	['ENST00000318059']
LSR	NM_205834	['ENST00000347609', 'ENST00000602122']
LSS	NM_001001438	['ENST00000397728']
RASEF	NM_152573	['ENST00000376447', 'ENST00000340717']
COL1A2	NM_000089	['ENST00000297268']
PRSS56	NM_001195129	['ENST00000449534']
PRSS53	NM_001039503	['ENST00000533518', 'ENST00000280606']
MPV17	NM_002437	['ENST00000380044', 'ENST00000233545', 'ENST00000357186']
LIN28B	NM_001004317	['ENST00000345080']
LIN28A	NM_024674	['ENST00000326279']
MOGAT1	NM_058165	['ENST00000446656']
RBM12B	NM_203390	['ENST00000399300']
HMCN1	NM_031935	['ENST00000271588', 'ENST00000367492', 'ENST00000485744']
ANAPC5	NM_016237	['ENST00000261819', 'ENST00000535641', 'ENST00000539079', 'ENST00000535482']
ANAPC7	NM_016238	['ENST00000455511']
RPS6KA1	NM_001006665	['ENST00000531113', 'ENST00000374163', 'ENST00000374168']
RPS6KA3	NM_004586	['ENST00000379565']
AMZ2	NM_001033574	['ENST00000359904', 'ENST00000580837']
RPS6KA6	NM_014496	['ENST00000543399', 'ENST00000262752']
SH3D19	NM_001243349	['ENST00000514152', 'ENST00000478503']
PSMD12	NM_002816	['ENST00000356126', 'ENST00000584289']
FTCD	NM_006657	['ENST00000291670', 'ENST00000397748', 'ENST00000460011']
UTP23	NM_032334	['ENST00000309822']
UTP20	NM_014503	['ENST00000261637', 'ENST00000551825']
CYTL1	NM_018659	['ENST00000307746']
MINPP1	NM_004897	['ENST00000371996']
METTL2B	NM_018396	['ENST00000262432']
GANAB	NM_198335	['ENST00000346178']
TOPAZ1	NM_001145030	['ENST00000309765']
VAPB	NM_004738	['ENST00000475243']
VAPA	NM_003574	['ENST00000400000']
NPHP3	NM_153240	['ENST00000326682', 'ENST00000471702']
NPHP1	NM_000272	['ENST00000393272']
CEMIP	NM_018689	['ENST00000356249', 'ENST00000220244']
NPHP4	NM_015102	['ENST00000378156', 'ENST00000378161', 'ENST00000489180', 'ENST00000466897']
EFCAB7	NM_032437	['ENST00000371088']
CTH	NM_001902	['ENST00000370938', 'ENST00000411986']
ARF1	NM_001024226	['ENST00000540651']
ARF4	NM_001660	['ENST00000303436']
EFCAB6	NM_022785	['ENST00000404038', 'ENST00000356087', 'ENST00000262726']
BUD23	NM_001202560	['ENST00000265758']
ACOX1	NM_004035	['ENST00000537812']
IRF3	NM_001571	['ENST00000377139', 'ENST00000597636']
PRADC1	NM_032319	['ENST00000258083']
MYLK2	NM_033118	['ENST00000375985', 'ENST00000468730']
SCN4A	NM_000334	['ENST00000435607']
TRMT44	NM_152544	['ENST00000513449', 'ENST00000511366']
PQLC2	NM_001040125	['ENST00000375153']
MOB4	NM_015387	['ENST00000323303']
SLCO1B1	NM_006446	['ENST00000256958']
RAB11FIP5	NM_015470	['ENST00000486777', 'ENST00000493523', 'ENST00000258098']
BPIFA3	NM_178466	['ENST00000375454']
METTL23	NM_001080510	['ENST00000588783']
METTL22	NM_024109	['ENST00000381920']
SPP1	NM_001040058	['ENST00000237623']
METTL26	NM_001040160	['ENST00000448973']
SPP2	NM_006944	['ENST00000373368', 'ENST00000168148']
SLITRK6	NM_032229	['ENST00000400286']
IFIH1	NM_022168	['ENST00000263642', 'ENST00000421365']
MPDU1	NM_004870	['ENST00000423172', 'ENST00000250124']
CBLC	NM_012116	['ENST00000270279']
EEF1A2	NM_001958	['ENST00000217182']
SLITRK4	NM_173078	['ENST00000381779']
FYCO1	NM_024513	['ENST00000296137']
ARL11	NM_138450	['ENST00000282026']
RAB2A	NM_002865	['ENST00000262646']
ARL15	NM_019087	['ENST00000504924', 'ENST00000502271']
FRRS1	NM_001013660	['ENST00000287474']
WDR45B	NM_019613	['ENST00000392325']
AASS	NM_005763	['ENST00000473553', 'ENST00000417368', 'ENST00000393376']
SLITRK1	NM_052910	['ENST00000377084']
KIF4B	NM_001099293	['ENST00000435029']
KIF4A	NM_012310	['ENST00000374388', 'ENST00000374403']
CLIP2	NM_003388	['ENST00000223398']
CLIP1	NM_002956	['ENST00000540338', 'ENST00000358808']
MNDA	NM_002432	['ENST00000368141']
HEXDC	NM_173620	['ENST00000585077', 'ENST00000582429', 'ENST00000337014']
ERMARD	NM_018341	['ENST00000366771', 'ENST00000366772', 'ENST00000366773']
CD44	NM_000610	['ENST00000263398']
CD46	NM_002389	['ENST00000358170']
CA12	NM_001218	['ENST00000178638']
CA10	NM_001082533	['ENST00000285273']
HIKESHI	NM_016401	['ENST00000278483']
AP3B2	NM_004644	['ENST00000543938', 'ENST00000261722', 'ENST00000537735', 'ENST00000535513']
FPGS	NM_004957	['ENST00000373245']
VMA21	NM_001017980	['ENST00000330374']
RAB21	NM_014999	['ENST00000261263']
ZNF44	NM_001164276	['ENST00000600003', 'ENST00000393337', 'ENST00000356109', 'ENST00000483826']
RAB23	NM_183227	['ENST00000317483']
TBL1X	NM_005647	['ENST00000217964']
RAB25	NM_020387	['ENST00000361084']
RAB28	NM_004249	['ENST00000288723']
RAB29	NM_003929	['ENST00000367139']
GLRA1	NM_000171	['ENST00000274576']
DZIP1L	NM_173543	['ENST00000327532']
GLRA4	NM_001024452	['ENST00000372617']
FAR1	NM_032228	['ENST00000354817', 'ENST00000532701']
WDR73	NM_032856	['ENST00000559994', 'ENST00000434634', 'ENST00000398528', 'ENST00000560966']
WDR72	NM_182758	['ENST00000396328', 'ENST00000360509']
WDR75	NM_032168	['ENST00000436347', 'ENST00000427960', 'ENST00000314761']
WDR76	NM_024908	['ENST00000263795']
DHX29	NM_019030	['ENST00000504778', 'ENST00000251636']
AGMO	NM_001004320	['ENST00000342526']
NTAN1	NM_173474	['ENST00000287706']
NQO2	NM_000904	['ENST00000380472', 'ENST00000338130']
CDO1	NM_001801	['ENST00000250535']
NQO1	NM_000903	['ENST00000320623']
PRPF8	NM_006445	['ENST00000304992']
NID2	NM_007361	['ENST00000216286']
PRPF3	NM_004698	['ENST00000496202', 'ENST00000324862', 'ENST00000467329']
PRPF4	NM_004697	['ENST00000374199']
PRPF6	NM_012469	['ENST00000266079']
CD177	NM_020406	['ENST00000607855', 'ENST00000378009']
ZFP69	NM_198494	['ENST00000372706']
HTN3	NM_000200	['ENST00000526767']
ZFP64	NM_018197	['ENST00000216923']
PIP4K2A	NM_005028	['ENST00000376573']
ZPBP2	NM_199321	['ENST00000377940']
IL31RA	NM_139017	['ENST00000447346']
ARL14EP	NM_152316	['ENST00000282032']
LEFTY2	NM_003240	['ENST00000366820']
LEFTY1	NM_020997	['ENST00000272134']
FAM120AOS	NM_198841	['ENST00000423591', 'ENST00000479094', 'ENST00000375412']
FAM45A	NM_207009	['ENST00000592932', 'ENST00000489988']
KIF14	NM_014875	['ENST00000367350']
ZIC2	NM_007129	['ENST00000376335']
SH3BP5	NM_004844	['ENST00000383791']
CSAD	NM_015989	['ENST00000267085']
RABGAP1L	NM_014857	['ENST00000367690', 'ENST00000251507', 'ENST00000357444']
CDON	NM_016952	['ENST00000525625', 'ENST00000392693', 'ENST00000534661']
ELK1	NM_005229	['ENST00000247161']
PAK5	NM_020341	['ENST00000378429']
PAK6	NM_001276717	['ENST00000260404']
STRADA	NM_001003787	['ENST00000392950']
PAK3	NM_002578	['ENST00000518291', 'ENST00000519681']
PAK3	NM_001128173	['ENST00000372010']
NSDHL	NM_015922	['ENST00000370274']
KCNG1	NM_002237	['ENST00000396017', 'ENST00000371571']
NUBPL	NM_025152	['ENST00000281081']
OR4C16	NM_001004701	['ENST00000314634']
CEP97	NM_024548	['ENST00000327230', 'ENST00000341893', 'ENST00000489172']
CEP95	NM_138363	['ENST00000553412', 'ENST00000556440', 'ENST00000580285']
CYP2D6	NM_000106	['ENST00000360608']
MFSD2A	NM_001136493	['ENST00000372809']
KRT18	NM_000224	['ENST00000388835']
DMBT1	NM_007329	['ENST00000368909', 'ENST00000338354']
PRKG1	NM_006258	['ENST00000373980', 'ENST00000373985']
LCN10	NM_001001712	['ENST00000406721', 'ENST00000435202']
KAT14	NM_020536	['ENST00000435364', 'ENST00000377681', 'ENST00000489634']
LCN12	NM_178536	['ENST00000470501', 'ENST00000484304']
TNS3	NM_022748	['ENST00000311160', 'ENST00000398879']
TRAF3IP2	NM_147686	['ENST00000368761']
TNS1	NM_022648	['ENST00000430930', 'ENST00000171887', 'ENST00000310858', 'ENST00000413280', 'ENST00000479185']
HEXA	NM_000520	['ENST00000268097']
ARID2	NM_152641	['ENST00000444670', 'ENST00000480128', 'ENST00000334344', 'ENST00000422737', 'ENST00000479608']
NAXE	NM_144772	['ENST00000368235', 'ENST00000368234']
NAXD	NM_001242881	['ENST00000309957', 'ENST00000470164']
ARGLU1	NM_018011	['ENST00000400198', 'ENST00000375926']
NLRP1	NM_033004	['ENST00000345221']
KLC4	NM_201523	['ENST00000259708']
GLYCTK	NM_145262	['ENST00000354773', 'ENST00000489173']
CALML4	NM_033429	['ENST00000395465']
TRIM9	NM_052978	['ENST00000360392', 'ENST00000338969']
TRIM8	NM_030912	['ENST00000302424']
TMEM217	NM_145316	['ENST00000497775', 'ENST00000336655']
TMEM216	NM_001173990	['ENST00000334888']
TMEM214	NM_001083590	['ENST00000238788']
GAS1	NM_002048	['ENST00000298743']
TMEM219	NM_001083613	['ENST00000279396']
TRIM2	NM_001130067	['ENST00000338700']
TRIM5	NM_033034	['ENST00000305836']
COX15	NM_004376	['ENST00000370483']
TRIM6	NM_001003818	['ENST00000380097']
PDGFRB	NM_002609	['ENST00000261799', 'ENST00000520579']
PDGFRA	NM_006206	['ENST00000509490', 'ENST00000257290', 'ENST00000507536', 'ENST00000508170', 'ENST00000509092']
WRAP53	NM_018081	['ENST00000316024']
ANKRD13A	NM_033121	['ENST00000550404', 'ENST00000553025', 'ENST00000553251', 'ENST00000261739']
UGT2A3	NM_024743	['ENST00000251566']
SCN10A	NM_006514	['ENST00000449082']
PPA2	NM_176869	['ENST00000341695', 'ENST00000310267']
MCTP2	NM_018349	['ENST00000456504']
NUP62	NM_153719	['ENST00000422090', 'ENST00000352066', 'ENST00000596217']
ALCAM	NM_001627	['ENST00000306107']
TPM4	NM_001145160	['ENST00000300933']
TPM3	NM_152263	['ENST00000368530']
TPM2	NM_003289	['ENST00000378292', 'ENST00000360958']
TPM1	NM_001018005	['ENST00000288398']
TPM1	NM_001018020	['ENST00000404484', 'ENST00000559397', 'ENST00000334895']
FBXW9	NM_032301	['ENST00000393261', 'ENST00000380339', 'ENST00000544494']
SIPA1	NM_153253	['ENST00000527525', 'ENST00000394224']
C22orf31	NM_015370	['ENST00000216071']
FBXW5	NM_018998	['ENST00000459905', 'ENST00000483559', 'ENST00000487794']
FBXW7	NM_033632	['ENST00000281708']
TGFBR3	NM_003243	['ENST00000212355']
TGFBR2	NM_003242	['ENST00000295754']
TGFBR2	NM_001024847	['ENST00000295754']
TGFBR1	NM_004612	['ENST00000374994']
PLPP2	NM_177543	['ENST00000269812']
SH3RF3	NM_001099289	['ENST00000309415']
PLPP6	NM_203453	['ENST00000381883']
TPMT	NM_000367	['ENST00000309983']
ANKLE2	NM_015114	['ENST00000337516', 'ENST00000357997']
LRAT	NM_004744	['ENST00000510733', 'ENST00000336356']
TJP2	NM_004817	['ENST00000377245']
TJP3	NM_001267561	['ENST00000589378']
NDOR1	NM_014434	['ENST00000344894']
RHPN2	NM_033103	['ENST00000254260', 'ENST00000544458']
CCDC170	NM_025059	['ENST00000239374']
PPAT	NM_002703	['ENST00000264220']
BABAM1	NM_001033549	['ENST00000359435']
BBIP1	NM_001195306	['ENST00000448814']
SH3PXD2B	NM_001017995	['ENST00000311601']
TUB	NM_003320	['ENST00000305253']
DCXR	NM_016286	['ENST00000306869']
CHPF2	NM_019015	['ENST00000495645', 'ENST00000035307']
LYSMD1	NM_001136543	['ENST00000368908']
AGRP	NM_001138	['ENST00000290953']
AGRN	NM_198576	['ENST00000379370']
OR2W3	NM_001001957	['ENST00000360358', 'ENST00000537741']
RABL6	NM_024718	['ENST00000371675', 'ENST00000436380', 'ENST00000435930', 'ENST00000464941', 'ENST00000371663']
SMARCA1	NM_003069	['ENST00000371122']
SMARCA2	NM_003070	['ENST00000349721']
SMARCA4	NM_001128849	['ENST00000358026']
SMARCA5	NM_003601	['ENST00000283131']
LYSMD4	NM_152449	['ENST00000496108', 'ENST00000344791', 'ENST00000409796', 'ENST00000604213']
TOR1A	NM_000113	['ENST00000473084', 'ENST00000351698']
EBP	NM_006579	['ENST00000495186']
CCT6B	NM_006584	['ENST00000314144']
CCT6B	NM_001193529	['ENST00000314144']
RUFY3	NM_001037442	['ENST00000381006']
RUFY2	NM_001042417	['ENST00000399200']
RUFY2	NM_017987	['ENST00000466493', 'ENST00000388768']
FCGR2B	NM_004001	['ENST00000358671']
FCGR2A	NM_021642	['ENST00000271450']
SKIL	NM_005414	['ENST00000458537']
MCOLN3	NM_001253693	['ENST00000370589', 'ENST00000474447', 'ENST00000475312']
GCGR	NM_000160	['ENST00000572185', 'ENST00000400723']
DPH1	NM_001383	['ENST00000263083', 'ENST00000571710', 'ENST00000570867', 'ENST00000572684']
MYH7B	NM_020884	['ENST00000470929', 'ENST00000262873']
SPAST	NM_014946	['ENST00000315285']
CALCR	NM_001742	['ENST00000360249']
PSAPL1	NM_001085382	['ENST00000319098']
CANT1	NM_138793	['ENST00000302345']
CALCB	NM_000728	['ENST00000324229', 'ENST00000533448']
CKB	NM_001823	['ENST00000348956']
CKM	NM_001824	['ENST00000221476']
PECR	NM_018441	['ENST00000265322', 'ENST00000442122']
TM2D3	NM_078474	['ENST00000559024', 'ENST00000333202']
PAH	NM_000277	['ENST00000553106', 'ENST00000549111']
PAM	NM_000919	['ENST00000438793']
DCN	NM_001920	['ENST00000052754']
GPAM	NM_020918	['ENST00000348367']
DCK	NM_000788	['ENST00000503359', 'ENST00000286648']
LIX1	NM_153234	['ENST00000274382']
ACSM3	NM_005622	['ENST00000289416']
THRB	NM_000461	['ENST00000356447', 'ENST00000396671', 'ENST00000280696', 'ENST00000453729']
DCC	NM_005215	['ENST00000442544', 'ENST00000412726']
THRA	NM_199334	['ENST00000546243', 'ENST00000450525']
TAF4B	NM_005640	['ENST00000269142']
CUL9	NM_015089	['ENST00000451399', 'ENST00000252050', 'ENST00000515773', 'ENST00000510282', 'ENST00000354495']
INIP	NM_021218	['ENST00000374242']
EIF4ENIF1	NM_019843	['ENST00000330125']
CUL5	NM_003478	['ENST00000393094']
